2025-11-09 10:48:37,059 | INFO | __main__ | 日志初始化完成：level=INFO, path=E:\Workforce\【昭融汇利】\1. 港股通项目\港股通回测\backtest\output\logs\backtest.log
2025-11-09 10:50:49,046 | INFO | backtest.main | 2019-06-03 再平衡：目标=30，可交易=29，买入=24，卖出=21，锁定目标=1，锁定卖出=0
2025-11-09 10:50:49,497 | INFO | backtest.main | 2019-07-02 再平衡：目标=30，可交易=30，买入=21，卖出=25，锁定目标=0，锁定卖出=0
2025-11-09 10:50:49,920 | INFO | backtest.main | 2019-08-01 再平衡：目标=30，可交易=30，买入=26，卖出=19，锁定目标=0，锁定卖出=0
2025-11-09 10:50:51,125 | INFO | backtest.main | 2019-09-02 再平衡：目标=30，可交易=29，买入=25，卖出=23，锁定目标=1，锁定卖出=0
2025-11-09 10:50:51,544 | INFO | backtest.main | 2019-09-27 再平衡：目标=30，可交易=30，买入=22，卖出=26，锁定目标=0，锁定卖出=0
2025-11-09 10:50:55,553 | INFO | backtest.main | 2019-11-01 再平衡：目标=30，可交易=30，买入=26，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:51:06,712 | INFO | backtest.main | 2019-12-02 再平衡：目标=30，可交易=30，买入=22，卖出=25，锁定目标=0，锁定卖出=0
2025-11-09 10:51:33,760 | INFO | backtest.main | 2020-01-01 再平衡：目标=30，可交易=0，买入=0，卖出=0，锁定目标=30，锁定卖出=15
2025-11-09 10:51:34,125 | INFO | backtest.main | 2020-01-22 再平衡：目标=30，可交易=30，买入=23，卖出=20，锁定目标=0，锁定卖出=0
2025-11-09 10:51:35,280 | INFO | backtest.main | 2020-03-02 再平衡：目标=30，可交易=29，买入=23，卖出=23，锁定目标=1，锁定卖出=0
2025-11-09 10:51:35,731 | INFO | backtest.main | 2020-04-01 再平衡：目标=30，可交易=30，买入=19，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:51:36,186 | INFO | backtest.main | 2020-04-28 再平衡：目标=30，可交易=30，买入=24，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:51:36,674 | INFO | backtest.main | 2020-06-01 再平衡：目标=30，可交易=30，买入=24，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:51:37,179 | INFO | backtest.main | 2020-07-02 再平衡：目标=30，可交易=30，买入=20，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:51:37,598 | INFO | backtest.main | 2020-08-03 再平衡：目标=30，可交易=30，买入=22，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:51:38,737 | INFO | backtest.main | 2020-09-01 再平衡：目标=30，可交易=29，买入=28，卖出=19，锁定目标=1，锁定卖出=0
2025-11-09 10:51:39,965 | INFO | backtest.main | 2020-09-29 再平衡：目标=30，可交易=29，买入=26，卖出=28，锁定目标=1，锁定卖出=0
2025-11-09 10:51:41,101 | INFO | backtest.main | 2020-11-02 再平衡：目标=30，可交易=29，买入=22，卖出=21，锁定目标=1，锁定卖出=0
2025-11-09 10:51:41,593 | INFO | backtest.main | 2020-12-01 再平衡：目标=30，可交易=30，买入=23，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:51:42,010 | INFO | backtest.main | 2021-01-04 再平衡：目标=30，可交易=30，买入=23，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:51:43,133 | INFO | backtest.main | 2021-02-01 再平衡：目标=30，可交易=29，买入=25，卖出=22，锁定目标=1，锁定卖出=0
2025-11-09 10:51:43,538 | INFO | backtest.main | 2021-03-01 再平衡：目标=30，可交易=30，买入=23，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:51:43,984 | INFO | backtest.main | 2021-04-01 再平衡：目标=30，可交易=30，买入=21，卖出=22，锁定目标=0，锁定卖出=0
2025-11-09 10:51:44,422 | INFO | backtest.main | 2021-04-29 再平衡：目标=30，可交易=30，买入=23，卖出=25，锁定目标=0，锁定卖出=0
2025-11-09 10:51:44,891 | INFO | backtest.main | 2021-06-01 再平衡：目标=30，可交易=30，买入=25，卖出=25，锁定目标=0，锁定卖出=0
2025-11-09 10:51:45,366 | INFO | backtest.main | 2021-07-02 再平衡：目标=30，可交易=30，买入=23，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:51:45,779 | INFO | backtest.main | 2021-08-02 再平衡：目标=30，可交易=30，买入=21，卖出=20，锁定目标=0，锁定卖出=0
2025-11-09 10:51:46,247 | INFO | backtest.main | 2021-09-01 再平衡：目标=30，可交易=30，买入=26，卖出=28，锁定目标=0，锁定卖出=0
2025-11-09 10:51:47,392 | INFO | backtest.main | 2021-09-29 再平衡：目标=30，可交易=29，买入=26，卖出=22，锁定目标=1，锁定卖出=0
2025-11-09 10:51:48,528 | INFO | backtest.main | 2021-11-01 再平衡：目标=30，可交易=29，买入=23，卖出=25，锁定目标=1，锁定卖出=0
2025-11-09 10:51:48,932 | INFO | backtest.main | 2021-12-01 再平衡：目标=30，可交易=30，买入=24，卖出=25，锁定目标=0，锁定卖出=0
2025-11-09 10:51:49,320 | INFO | backtest.main | 2021-12-29 再平衡：目标=30，可交易=30，买入=21，卖出=26，锁定目标=0，锁定卖出=0
2025-11-09 10:51:49,719 | INFO | backtest.main | 2022-01-27 再平衡：目标=30，可交易=30，买入=20，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:51:50,846 | INFO | backtest.main | 2022-03-01 再平衡：目标=30，可交易=29，买入=25，卖出=15，锁定目标=1，锁定卖出=0
2025-11-09 10:51:51,249 | INFO | backtest.main | 2022-03-31 再平衡：目标=30，可交易=30，买入=21，卖出=25，锁定目标=0，锁定卖出=0
2025-11-09 10:51:51,728 | INFO | backtest.main | 2022-04-28 再平衡：目标=30，可交易=30，买入=26，卖出=27，锁定目标=0，锁定卖出=0
2025-11-09 10:51:52,151 | INFO | backtest.main | 2022-06-01 再平衡：目标=30，可交易=30，买入=23，卖出=24，锁定目标=0，锁定卖出=0
2025-11-09 10:51:52,589 | INFO | backtest.main | 2022-07-04 再平衡：目标=30，可交易=30，买入=25，卖出=19，锁定目标=0，锁定卖出=0
2025-11-09 10:51:53,039 | INFO | backtest.main | 2022-08-01 再平衡：目标=30，可交易=30，买入=22，卖出=23，锁定目标=0，锁定卖出=0
2025-11-09 10:51:53,535 | INFO | backtest.main | 2022-09-01 再平衡：目标=30，可交易=30，买入=20，卖出=20，锁定目标=0，锁定卖出=0
2025-11-09 10:51:53,919 | INFO | backtest.main | 2022-09-29 再平衡：目标=30，可交易=30，买入=21，卖出=29，锁定目标=0，锁定卖出=0
2025-11-09 10:52:01,505 | INFO | backtest.main | 2022-11-01 再平衡：目标=30，可交易=30，买入=21，卖出=27，锁定目标=0，锁定卖出=0
2025-11-09 10:52:12,698 | INFO | backtest.main | 2022-12-01 再平衡：目标=30，可交易=30，买入=20，卖出=22，锁定目标=0，锁定卖出=0
2025-11-09 10:52:40,043 | INFO | backtest.main | 2023-01-02 再平衡：目标=30，可交易=0，买入=0，卖出=0，锁定目标=30，锁定卖出=15
