调仓日,证券代码
2018/8/31,0008.HK
2018/8/31,1089.HK
2018/8/31,0270.HK
2018/8/31,0728.HK
2018/8/31,0066.HK
2018/9/26,1098.HK
2018/9/26,1310.HK
2018/9/26,0902.HK
2018/9/26,2338.HK
2018/9/26,0291.HK
2018/9/26,6808.HK
2018/9/26,1997.HK
2018/9/26,0014.HK
2018/9/26,1972.HK
2018/9/26,0322.HK
2018/9/26,0386.HK
2018/9/26,3606.HK
2018/9/26,1288.HK
2018/9/26,0916.HK
2018/9/26,0017.HK
2018/9/26,0857.HK
2018/9/26,0941.HK
2018/9/26,1208.HK
2018/9/26,0914.HK
2018/9/26,0728.HK
2018/9/26,1052.HK
2018/9/26,3899.HK
2018/9/26,2588.HK
2018/9/26,1928.HK
2018/9/26,0669.HK
2018/9/26,0345.HK
2018/9/26,1898.HK
2018/9/26,0966.HK
2018/9/26,0737.HK
2018/9/26,0337.HK
2019/1/30,0291.HK
2019/1/30,0737.HK
2019/1/30,0880.HK
2019/1/30,0386.HK
2019/1/30,1883.HK
2019/1/30,2331.HK
2019/1/30,0762.HK
2019/1/30,0014.HK
2019/1/30,0003.HK
2019/1/30,0384.HK
2019/1/30,0836.HK
2019/1/30,0659.HK
2019/1/30,0220.HK
2019/1/30,6808.HK
2019/1/30,1193.HK
2019/1/30,0136.HK
2019/1/30,0054.HK
2019/1/30,1997.HK
2019/1/30,0914.HK
2019/1/30,2233.HK
2019/1/30,0874.HK
2019/1/30,1317.HK
2019/1/30,0002.HK
2019/1/30,0341.HK
2019/1/30,0683.HK
2019/1/30,2768.HK
2019/1/30,0941.HK
2019/1/30,2899.HK
2019/1/30,1787.HK
2019/1/30,0960.HK
2019/10/31,1918.HK
2019/10/31,0291.HK
2019/10/31,1928.HK
2019/10/31,0168.HK
2019/10/31,1052.HK
2019/10/31,2282.HK
2019/10/31,1398.HK
2019/10/31,0700.HK
2019/10/31,0322.HK
2019/10/31,0868.HK
2019/10/31,0817.HK
2019/10/31,1513.HK
2019/10/31,3933.HK
2019/10/31,2628.HK
2019/10/31,0551.HK
2019/10/31,0017.HK
2019/10/31,2601.HK
2019/10/31,6099.HK
2019/10/31,3998.HK
2019/10/31,0667.HK
2019/10/31,0880.HK
2019/10/31,1339.HK
